X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
-7910482.19379852,5218090.54673119,N_568579452955538062,Charlestown,Q2CK-SNTB-WJWA,CHL-HIGHSCHOOL-AP2,"240 Medford St, Charlestown, MA 02129",42.3801186758107,-71.0610705944453, BCYF-Grant BPS Charlestown-High-School Outside ,2022/11/18 09:55:59+00,1,,,Outside,Charlestown High School,1
-7907045.55513843,5210860.08811236,N_568579452955537848,South Boston,Q2CK-LL7D-DRFS,SB-PERRY-AP2,"745 East 7th St., South Boston, MA",42.3321207672545,-71.0301987441018, BPS Outside Perry-School ,2022/11/18 09:55:58+00,1,BPS,,Outside,Perry School,2
-7907045.55513843,5210860.08811236,N_568579452955537848,South Boston,Q2CK-L6R4-HJGB,SB-PERRY-AP1,"745 E 7th St, South Boston, MA 02127",42.3321207672545,-71.0301987441018, recently-added ,2022/11/18 09:55:58+00,1,,,,,3
-7910482.19379852,5218090.54673119,N_568579452955538062,Charlestown,Q2CK-CWUY-RBGW,CHL-HIGHSCHOOL-AP1,"240 Medford St., Charlestown, MA",42.3801186758107,-71.0610705944453, BPS Charlestown-High-School Outside ,2022/11/18 09:55:59+00,1,BPS,,Outside,Charlestown High School,4
-7911344.9198002,5207976.53404644,N_568579452955534204,Dorchester,Q2CK-FQLH-FDJH,DOT-BPL-AP5,"63 Glendale St, Dorchester, MA",42.3129686634185,-71.0688205939785, BPL Outside Uphams-Corner-Branch ,2022/11/18 09:55:57+00,1,BPL,,Outside,Uphams Corner Branch,5
-7910482.19379852,5218090.54673119,N_568579452955538062,Charlestown,Q2CK-V3LS-5V65,CHL-BCYF-AP2,"240 Medford St, Charlestown, MA 02129",42.3801186758107,-71.0610705944453, BCYF BCYF-Grant Charlestown-Athletic-Building Outside ,2022/11/18 09:55:59+00,1,BCYF,,Outside,Charlestown Athletic Building,6
-7904346.26164797,5218988.75379076,N_601230550253966604,East Boston Senior Center,Q3AB-3QKN-ZC2L,EBSC-AP-2,"18 Barnes Avenue, East Boston, MA 02128",42.3860786782013,-71.0059505781137, Inside employee ,2022/11/18 09:56:34+00,1,,,Inside,employee,7
-7908681.04359801,5210972.71024671,N_568579452955537848,South Boston,Q2CK-LEG8-FAFN,SB-HIGHSCHOOL-AP2,"95 G St., South Boston, MA",42.3328686671197,-71.0448905869042, recently-added ,2022/11/18 09:55:58+00,1,,,,,8
-7907045.55513843,5210860.08811236,N_568579452955537848,South Boston,Q2CK-NLQZ-E2SP,SB-PERRY-AP3,"745 E 7th St, South Boston, MA 02127",42.3321207672545,-71.0301987441018, BPS Outside Perry-School ,2022/11/18 09:55:58+00,1,BPS,,Outside,Perry School,9
-7908681.04359801,5210972.71024671,N_568579452955537848,South Boston,Q2CK-D4R6-5UWB,SB-HIGHSCHOOL-AP3,"95 G St., South Boston, MA",42.3328686671197,-71.0448905869042, Outside South-Boston-High-School ,2022/11/18 09:55:58+00,1,,,Outside,South Boston High School,10
